dataset,rep_a,rep_b,cka_score
wine,amplitude,angle,0.317011
wine,angle,amplitude,0.317011
wine,amplitude,basis,0.178159
wine,basis,amplitude,0.178159
wine,amplitude,raw_linear,0.31228
wine,raw_linear,amplitude,0.31228
wine,amplitude,rff,0.348052
wine,rff,amplitude,0.348052
wine,amplitude,pca,0.312157
wine,pca,amplitude,0.312157
wine,amplitude,poly2,0.221976
wine,poly2,amplitude,0.221976
wine,angle,basis,0.433446
wine,basis,angle,0.433446
wine,angle,raw_linear,0.97087
wine,raw_linear,angle,0.97087
wine,angle,rff,0.735116
wine,rff,angle,0.735116
wine,angle,pca,0.970783
wine,pca,angle,0.970783
wine,angle,poly2,0.575111
wine,poly2,angle,0.575111
wine,basis,raw_linear,0.424236
wine,raw_linear,basis,0.424236
wine,basis,rff,0.440136
wine,rff,basis,0.440136
wine,basis,pca,0.423346
wine,pca,basis,0.423346
wine,basis,poly2,0.371026
wine,poly2,basis,0.371026
wine,raw_linear,rff,0.734303
wine,rff,raw_linear,0.734303
wine,raw_linear,pca,0.999801
wine,pca,raw_linear,0.999801
wine,raw_linear,poly2,0.561774
wine,poly2,raw_linear,0.561774
wine,rff,pca,0.733629
wine,pca,rff,0.733629
wine,rff,poly2,0.592245
wine,poly2,rff,0.592245
wine,pca,poly2,0.560214
wine,poly2,pca,0.560214
breast_cancer,amplitude,angle,0.560835
breast_cancer,angle,amplitude,0.560835
breast_cancer,amplitude,basis,0.249395
breast_cancer,basis,amplitude,0.249395
breast_cancer,amplitude,raw_linear,0.515896
breast_cancer,raw_linear,amplitude,0.515896
breast_cancer,amplitude,rff,0.41968
breast_cancer,rff,amplitude,0.41968
breast_cancer,amplitude,pca,0.515896
breast_cancer,pca,amplitude,0.515896
breast_cancer,amplitude,poly2,0.116077
breast_cancer,poly2,amplitude,0.116077
breast_cancer,angle,basis,0.434173
breast_cancer,basis,angle,0.434173
breast_cancer,angle,raw_linear,0.957485
breast_cancer,raw_linear,angle,0.957485
breast_cancer,angle,rff,0.739123
breast_cancer,rff,angle,0.739123
breast_cancer,angle,pca,0.957485
breast_cancer,pca,angle,0.957485
breast_cancer,angle,poly2,0.295552
breast_cancer,poly2,angle,0.295552
breast_cancer,basis,raw_linear,0.412873
breast_cancer,raw_linear,basis,0.412873
breast_cancer,basis,rff,0.452603
breast_cancer,rff,basis,0.452603
breast_cancer,basis,pca,0.412873
breast_cancer,pca,basis,0.412873
breast_cancer,basis,poly2,0.159764
breast_cancer,poly2,basis,0.159764
breast_cancer,raw_linear,rff,0.665116
breast_cancer,rff,raw_linear,0.665116
breast_cancer,raw_linear,pca,1.0
breast_cancer,pca,raw_linear,1.0
breast_cancer,raw_linear,poly2,0.401607
breast_cancer,poly2,raw_linear,0.401607
breast_cancer,rff,pca,0.665116
breast_cancer,pca,rff,0.665116
breast_cancer,rff,poly2,0.189817
breast_cancer,poly2,rff,0.189817
breast_cancer,pca,poly2,0.401606
breast_cancer,poly2,pca,0.401606
dry_bean,amplitude,angle,0.582376
dry_bean,angle,amplitude,0.582376
dry_bean,amplitude,basis,0.288434
dry_bean,basis,amplitude,0.288434
dry_bean,amplitude,raw_linear,0.698879
dry_bean,raw_linear,amplitude,0.698879
dry_bean,amplitude,rff,0.491952
dry_bean,rff,amplitude,0.491952
dry_bean,amplitude,pca,0.698879
dry_bean,pca,amplitude,0.698879
dry_bean,amplitude,poly2,0.273218
dry_bean,poly2,amplitude,0.273218
dry_bean,angle,basis,0.447896
dry_bean,basis,angle,0.447896
dry_bean,angle,raw_linear,0.964424
dry_bean,raw_linear,angle,0.964424
dry_bean,angle,rff,0.764384
dry_bean,rff,angle,0.764384
dry_bean,angle,pca,0.964424
dry_bean,pca,angle,0.964424
dry_bean,angle,poly2,0.380961
dry_bean,poly2,angle,0.380961
dry_bean,basis,raw_linear,0.407904
dry_bean,raw_linear,basis,0.407904
dry_bean,basis,rff,0.486898
dry_bean,rff,basis,0.486898
dry_bean,basis,pca,0.407904
dry_bean,pca,basis,0.407904
dry_bean,basis,poly2,0.13483
dry_bean,poly2,basis,0.13483
dry_bean,raw_linear,rff,0.678333
dry_bean,rff,raw_linear,0.678333
dry_bean,raw_linear,pca,1.0
dry_bean,pca,raw_linear,1.0
dry_bean,raw_linear,poly2,0.44382
dry_bean,poly2,raw_linear,0.44382
dry_bean,rff,pca,0.678333
dry_bean,pca,rff,0.678333
dry_bean,rff,poly2,0.253809
dry_bean,poly2,rff,0.253809
dry_bean,pca,poly2,0.44382
dry_bean,poly2,pca,0.44382
credit_card_fraud,amplitude,angle,0.165523
credit_card_fraud,angle,amplitude,0.165523
credit_card_fraud,amplitude,basis,0.145461
credit_card_fraud,basis,amplitude,0.145461
credit_card_fraud,amplitude,raw_linear,0.1727
credit_card_fraud,raw_linear,amplitude,0.1727
credit_card_fraud,amplitude,rff,0.239791
credit_card_fraud,rff,amplitude,0.239791
credit_card_fraud,amplitude,pca,0.172707
credit_card_fraud,pca,amplitude,0.172707
credit_card_fraud,amplitude,poly2,0.008348
credit_card_fraud,poly2,amplitude,0.008348
credit_card_fraud,angle,basis,0.189117
credit_card_fraud,basis,angle,0.189117
credit_card_fraud,angle,raw_linear,0.513753
credit_card_fraud,raw_linear,angle,0.513753
credit_card_fraud,angle,rff,0.507935
credit_card_fraud,rff,angle,0.507935
credit_card_fraud,angle,pca,0.513827
credit_card_fraud,pca,angle,0.513827
credit_card_fraud,angle,poly2,0.108243
credit_card_fraud,poly2,angle,0.108243
credit_card_fraud,basis,raw_linear,0.209501
credit_card_fraud,raw_linear,basis,0.209501
credit_card_fraud,basis,rff,0.307234
credit_card_fraud,rff,basis,0.307234
credit_card_fraud,basis,pca,0.209509
credit_card_fraud,pca,basis,0.209509
