dataset,method,method_type,encoding_us_mean,training_ms_mean,total_ms_mean,overhead_ratio_mean,enc_train_ratio_mean,encoding_peak_mb_mean,training_peak_mb_mean
wine,amplitude,qie,271.4,5.315,5.586,0.048739,0.051063,0.0514,0.0704
wine,angle,qie,168.8,7.245,7.414,0.024471,0.023299,0.1061,0.0679
wine,basis,qie,207.0,8.269,8.475,0.024899,0.025034,0.1643,0.2623
wine,raw_linear,classical,758.4,4.159,4.917,0.154384,0.182352,0.0359,0.0513
wine,rff,classical,2709.2,3.778,6.488,0.417703,0.717061,0.0876,0.0632
wine,poly2,classical,2728.6,5.912,8.64,0.316809,0.461536,0.3301,0.1417
wine,poly3,classical,4312.6,16.171,20.483,0.26201,0.266694,1.4554,0.5998
wine,pca,classical,815.2,69.624,70.439,0.01197,0.011709,0.0327,0.0493
breast_cancer,amplitude,qie,395.8,4.177,4.572,0.086864,0.094766,0.3411,0.0662
breast_cancer,angle,qie,670.8,5.145,5.816,0.116207,0.130379,0.7675,0.0646
breast_cancer,basis,qie,626.4,8.493,9.119,0.070177,0.073758,1.1491,0.993
breast_cancer,raw_linear,classical,855.0,5.913,6.768,0.137496,0.144597,0.194,0.0513
breast_cancer,rff,classical,3792.6,6.327,10.119,0.449879,0.599469,0.419,0.0598
breast_cancer,poly2,classical,6844.4,10.235,17.08,0.397366,0.668699,3.9315,0.2009
breast_cancer,poly3,classical,25201.2,10005.064,10030.265,0.002524,0.002519,42.9005,1.8277
breast_cancer,pca,classical,1485.2,130.605,132.09,0.011331,0.011372,0.1828,0.0498
dry_bean,amplitude,qie,2067.0,25.09,27.158,0.076937,0.082382,3.0286,1.4757
dry_bean,angle,qie,8414.0,901.587,910.002,0.009505,0.009332,9.7585,1.5033
dry_bean,basis,qie,6153.6,11442.355,11448.509,0.000538,0.000538,14.6356,12.8402
dry_bean,raw_linear,classical,1954.6,107.036,108.99,0.018875,0.018261,1.8113,1.4595
dry_bean,rff,classical,30969.4,180.666,211.636,0.144293,0.171418,4.2617,1.4901
dry_bean,poly2,classical,70527.0,11069.473,11140.0,0.006374,0.006371,28.2163,1.7389
dry_bean,poly3,classical,158095.0,220125.804,220283.899,0.000721,0.000718,179.3047,3.6129
dry_bean,pca,classical,1856.0,4511.872,4513.728,0.000412,0.000411,1.7052,1.4545
credit_card_fraud,amplitude,qie,44900.8,1203.222,1248.123,0.036271,0.037317,165.8737,7.5708
credit_card_fraud,angle,qie,842252.2,1086.107,1928.359,0.39682,0.775478,370.0233,7.573
credit_card_fraud,basis,qie,1385606.4,4930.597,6316.204,0.197406,0.281022,555.0328,430.497
credit_card_fraud,raw_linear,classical,101245.8,1789.422,1890.668,0.048755,0.05658,66.1447,7.5547
credit_card_fraud,rff,classical,597003.2,1182.475,1779.478,0.327621,0.504876,158.6706,7.5634
credit_card_fraud,poly2,classical,14618086.6,24097.733,38715.819,0.367479,0.606617,1797.3418,7.6846
credit_card_fraud,pca,classical,93595.2,29700.694,29794.289,0.003115,0.003151,63.8737,7.5541
fashion_mnist,amplitude,qie,32880.6,74709.464,74742.344,0.00045,0.00044,165.9545,4.8228
fashion_mnist,angle,qie,171861.4,480244.039,480415.901,0.00037,0.000358,351.2472,6.5933
fashion_mnist,basis,qie,154358.4,94212.872,94367.23,0.001714,0.001638,526.8686,422.8555
