dataset,seed,method,method_type,feature_dim,accuracy,f1_macro,encoding_s,training_s,total_s,overhead_ratio,encoding_peak_mb,training_peak_mb
wine,7,amplitude,qie_sklearn,16,0.583333,0.462668,0.000273,0.005508,0.005781,0.04722366372599897,0.051368,0.070945
wine,42,amplitude,qie_sklearn,16,0.666667,0.536364,0.000275,0.00515,0.005425,0.05069124423963134,0.051368,0.069018
wine,99,amplitude,qie_sklearn,16,0.611111,0.488889,0.00027,0.005435,0.005704,0.047335203366058905,0.051368,0.071486
wine,1337,amplitude,qie_sklearn,16,0.583333,0.462668,0.000267,0.005661,0.005928,0.04504048582995951,0.051368,0.071479
wine,2026,amplitude,qie_sklearn,16,0.694444,0.558157,0.000272,0.004821,0.005093,0.05340663655998429,0.051368,0.069073
wine,7,angle,qie_sklearn,26,0.916667,0.918167,0.000164,0.006049,0.006214,0.026392018023817188,0.106128,0.066231
wine,42,angle,qie_sklearn,26,1.0,1.0,0.000174,0.006559,0.006733,0.02584286350809446,0.106128,0.067882
wine,99,angle,qie_sklearn,26,1.0,1.0,0.000167,0.011825,0.011991,0.013927112000667166,0.106128,0.06943
wine,1337,angle,qie_sklearn,26,0.972222,0.974013,0.000167,0.0063,0.006467,0.02582341116437297,0.106128,0.069249
wine,2026,angle,qie_sklearn,26,0.972222,0.974321,0.000172,0.005491,0.005664,0.03036723163841808,0.106128,0.066953
wine,7,basis,qie_sklearn,104,0.916667,0.919312,0.000193,0.007682,0.007875,0.024507936507936506,0.164358,0.260798
wine,42,basis,qie_sklearn,104,0.916667,0.915147,0.000201,0.008318,0.008519,0.02359431858199319,0.164358,0.263452
wine,99,basis,qie_sklearn,104,0.944444,0.947475,0.000209,0.007494,0.007702,0.027135808880810183,0.164304,0.263231
wine,1337,basis,qie_sklearn,104,0.888889,0.890993,0.000199,0.006724,0.006923,0.02874476383070923,0.164358,0.262882
wine,2026,basis,qie_sklearn,104,0.916667,0.919778,0.000233,0.011125,0.011358,0.020514175030815283,0.164358,0.26092
wine,7,amplitude_torch,qie_torch,16,0.388889,0.186667,,,0.200939,,,18.119168
wine,42,amplitude_torch,qie_torch,16,0.333333,0.166667,,,0.191905,,,18.119168
wine,99,amplitude_torch,qie_torch,16,0.388889,0.186667,,,0.195577,,,18.119168
wine,1337,amplitude_torch,qie_torch,16,0.388889,0.186667,,,0.192026,,,18.119168
wine,2026,amplitude_torch,qie_torch,16,0.388889,0.186667,,,0.192026,,,18.119168
wine,7,angle_torch,qie_torch,26,0.916667,0.908918,,,0.035977,,,18.131968
wine,42,angle_torch,qie_torch,26,0.916667,0.920196,,,0.035926,,,18.131968
wine,99,angle_torch,qie_torch,26,1.0,1.0,,,0.03818,,,18.131968
wine,1337,angle_torch,qie_torch,26,0.916667,0.920196,,,0.036714,,,18.131968
wine,2026,angle_torch,qie_torch,26,0.972222,0.974321,,,0.039466,,,18.131968
wine,7,basis_torch,qie_torch,104,0.722222,0.723906,,,0.068213,,,18.235392
wine,42,basis_torch,qie_torch,104,0.75,0.721111,,,0.036046,,,18.235392
wine,99,basis_torch,qie_torch,104,0.694444,0.655807,,,0.06691,,,18.235392
wine,1337,basis_torch,qie_torch,104,0.805556,0.79085,,,0.05578,,,18.235392
wine,2026,basis_torch,qie_torch,104,0.805556,0.806782,,,0.069381,,,18.235392
wine,7,raw_linear,baseline_sklearn,13,0.972222,0.971781,0.000734,0.003865,0.004598,0.15963462374945628,0.035764,0.050815
wine,42,raw_linear,baseline_sklearn,13,0.972222,0.970962,0.000764,0.004189,0.004953,0.15424994952554008,0.035872,0.050946
wine,99,raw_linear,baseline_sklearn,13,1.0,1.0,0.000737,0.004399,0.005135,0.14352482960077897,0.035872,0.051468
wine,1337,raw_linear,baseline_sklearn,13,0.972222,0.970962,0.000742,0.004183,0.004925,0.15065989847715738,0.035872,0.051645
wine,2026,raw_linear,baseline_sklearn,13,0.972222,0.974321,0.000815,0.004159,0.004974,0.1638520305589063,0.035872,0.051566
wine,7,rff,baseline_sklearn,26,0.916667,0.919341,0.002682,0.003791,0.006473,0.41433647458674494,0.087113,0.06265
wine,42,rff,baseline_sklearn,26,0.888889,0.889744,0.00273,0.003944,0.006675,0.4089887640449438,0.087703,0.063342
wine,99,rff,baseline_sklearn,26,0.916667,0.914141,0.002701,0.003603,0.006304,0.42845812182741116,0.087653,0.062802
wine,1337,rff,baseline_sklearn,26,0.861111,0.869429,0.002713,0.003726,0.00644,0.4212732919254658,0.087761,0.063455
wine,2026,rff,baseline_sklearn,26,0.861111,0.86303,0.00272,0.003827,0.006547,0.41545746143271733,0.087541,0.063509
wine,7,poly2,baseline_sklearn,104,0.972222,0.971781,0.002702,0.005146,0.007847,0.34433541480820695,0.329894,0.141101
wine,42,poly2,baseline_sklearn,104,0.916667,0.915147,0.002756,0.006097,0.008853,0.3113069016152717,0.330164,0.142039
wine,99,poly2,baseline_sklearn,104,1.0,1.0,0.002691,0.006278,0.008969,0.3000334485449883,0.330218,0.142049
wine,1337,poly2,baseline_sklearn,104,0.972222,0.970962,0.002685,0.005521,0.008206,0.3271996100414331,0.330164,0.141026
wine,2026,poly2,baseline_sklearn,104,0.944444,0.948718,0.002809,0.006518,0.009327,0.3011686501554626,0.33011,0.142044
wine,7,poly3,baseline_sklearn,559,0.944444,0.944056,0.004256,0.008868,0.013124,0.32429137458092044,1.455168,0.599684
wine,42,poly3,baseline_sklearn,559,0.916667,0.915147,0.004285,0.040975,0.04526,0.09467520989836499,1.455384,0.59983
wine,99,poly3,baseline_sklearn,559,1.0,1.0,0.004214,0.011659,0.015873,0.26548226548226544,1.455384,0.601187
wine,1337,poly3,baseline_sklearn,559,0.944444,0.940741,0.004416,0.009789,0.014206,0.3108545684921864,1.455492,0.598872
wine,2026,poly3,baseline_sklearn,559,0.944444,0.948718,0.004392,0.009562,0.013954,0.31474845922316186,1.455438,0.599476
wine,7,pca,baseline_sklearn,12,0.916667,0.919341,0.00081,0.061515,0.062325,0.01299638989169675,0.032556,0.049029
wine,42,pca,baseline_sklearn,12,0.944444,0.940741,0.000807,0.056332,0.057139,0.014123453333099983,0.032664,0.050655
wine,99,pca,baseline_sklearn,12,0.972222,0.974321,0.000816,0.075361,0.076177,0.010711894666369114,0.032718,0.048463
wine,1337,pca,baseline_sklearn,12,0.916667,0.916212,0.000812,0.093954,0.094766,0.008568473925247452,0.032718,0.048787
wine,2026,pca,baseline_sklearn,12,0.888889,0.894137,0.000831,0.060959,0.06179,0.013448778119436804,0.03261,0.049593
wine,7,rbf_svm,baseline_sklearn,13,0.944444,0.945741,0.0,0.003445,0.003445,0.0,0.0,0.041999
wine,42,rbf_svm,baseline_sklearn,13,0.972222,0.970962,0.0,0.035857,0.035857,0.0,0.0,0.042377
wine,99,rbf_svm,baseline_sklearn,13,1.0,1.0,0.0,0.00342,0.00342,0.0,0.0,0.042485
wine,1337,rbf_svm,baseline_sklearn,13,0.944444,0.945741,0.0,0.003306,0.003306,0.0,0.0,0.042485
wine,2026,rbf_svm,baseline_sklearn,13,0.972222,0.970962,0.0,0.003753,0.003753,0.0,0.0,0.04221
wine,7,mlp,baseline_sklearn,13,0.944444,0.945825,0.0,0.191385,0.191385,0.0,0.0,2.894009
wine,42,mlp,baseline_sklearn,13,0.916667,0.916212,0.0,0.500149,0.500149,0.0,0.0,2.897356
wine,99,mlp,baseline_sklearn,13,1.0,1.0,0.0,0.757874,0.757874,0.0,0.0,2.89934
wine,1337,mlp,baseline_sklearn,13,0.972222,0.974013,0.0,0.261355,0.261355,0.0,0.0,2.898916
wine,2026,mlp,baseline_sklearn,13,0.861111,0.869446,0.0,0.468655,0.468655,0.0,0.0,2.897147
wine,7,torch_mlp,baseline_torch,13,0.916667,0.918167,,,0.146639,,,18.774528
wine,42,torch_mlp,baseline_torch,13,0.972222,0.970962,,,0.137354,,,18.774528
wine,99,torch_mlp,baseline_torch,13,1.0,1.0,,,0.069685,,,18.774528
wine,1337,torch_mlp,baseline_torch,13,0.972222,0.970962,,,0.146584,,,18.774528
wine,2026,torch_mlp,baseline_torch,13,0.944444,0.948718,,,0.068299,,,18.774528
breast_cancer,7,amplitude,qie_sklearn,32,0.798246,0.742613,0.000398,0.004043,0.004441,0.08961945507768522,0.341072,0.06597
breast_cancer,42,amplitude,qie_sklearn,32,0.789474,0.728571,0.000396,0.004026,0.004421,0.08957249491065371,0.341072,0.065159
breast_cancer,99,amplitude,qie_sklearn,32,0.745614,0.652549,0.000395,0.00449,0.004885,0.08085977482088025,0.341072,0.066913
breast_cancer,1337,amplitude,qie_sklearn,32,0.798246,0.742613,0.0004,0.003858,0.004258,0.09394081728511039,0.341072,0.065673
breast_cancer,2026,amplitude,qie_sklearn,32,0.763158,0.684211,0.00039,0.004466,0.004855,0.08032955715756951,0.341072,0.067298
breast_cancer,7,angle,qie_sklearn,60,0.973684,0.971583,0.000861,0.005096,0.005956,0.14456010745466755,0.767456,0.0642
breast_cancer,42,angle,qie_sklearn,60,0.964912,0.962302,0.000625,0.004518,0.005143,0.12152440209994167,0.767456,0.064509
breast_cancer,99,angle,qie_sklearn,60,0.964912,0.962302,0.000624,0.005831,0.006455,0.09666924864446166,0.767456,0.065875
breast_cancer,1337,angle,qie_sklearn,60,1.0,1.0,0.000636,0.005796,0.006432,0.09888059701492537,0.767456,0.063552
breast_cancer,2026,angle,qie_sklearn,60,0.982456,0.981151,0.000608,0.004484,0.005092,0.11940298507462686,0.767456,0.064706
breast_cancer,7,basis,qie_sklearn,240,0.938596,0.934947,0.000686,0.008091,0.008777,0.07815882419961262,1.149074,0.993941
breast_cancer,42,basis,qie_sklearn,240,0.947368,0.942867,0.000585,0.006872,0.007457,0.07844977873139332,1.149074,0.991694
breast_cancer,99,basis,qie_sklearn,240,0.947368,0.942867,0.000589,0.007355,0.007944,0.07414400805639476,1.149074,0.993317
breast_cancer,1337,basis,qie_sklearn,240,0.938596,0.932981,0.000669,0.009147,0.009816,0.06815403422982885,1.149074,0.994458
breast_cancer,2026,basis,qie_sklearn,240,0.929825,0.924603,0.000603,0.010998,0.011601,0.051978277734678044,1.149074,0.991566
breast_cancer,7,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.225877,,,18.209792
breast_cancer,42,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.22831,,,18.209792
breast_cancer,99,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.229464,,,18.209792
breast_cancer,1337,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.224132,,,18.209792
breast_cancer,2026,amplitude_torch,qie_torch,32,0.631579,0.387097,,,0.22389,,,18.209792
breast_cancer,7,angle_torch,qie_torch,60,0.947368,0.94223,,,0.06907,,,18.302464
breast_cancer,42,angle_torch,qie_torch,60,0.947368,0.94223,,,0.072433,,,18.302464
breast_cancer,99,angle_torch,qie_torch,60,0.947368,0.941538,,,0.072286,,,18.302464
breast_cancer,1337,angle_torch,qie_torch,60,0.964912,0.961486,,,0.070461,,,18.302464
breast_cancer,2026,angle_torch,qie_torch,60,0.938596,0.933693,,,0.070376,,,18.302464
breast_cancer,7,basis_torch,qie_torch,240,0.921053,0.914749,,,0.069833,,,18.900992
breast_cancer,42,basis_torch,qie_torch,240,0.903509,0.894684,,,0.070735,,,18.900992
breast_cancer,99,basis_torch,qie_torch,240,0.912281,0.903716,,,0.072278,,,18.900992
